artist,name,quote_ap,quote_error_ap,quote_model_ap,quote_billboard,quote_error_billboard,quote_model_billboard,quote_buzzfeed,quote_error_buzzfeed,quote_model_buzzfeed,quote_error_nyt_caramanica,quote_model_nyt_caramanica,quote_nyt_caramanica,quote_complex,quote_error_complex,quote_model_complex,quote_consequence,quote_error_consequence,quote_model_consequence,quote_crack,quote_error_crack,quote_model_crack,quote_dazed,quote_error_dazed,quote_model_dazed,quote_elle,quote_error_elle,quote_model_elle,quote_ew,quote_error_ew,quote_model_ew,quote_fader,quote_error_fader,quote_model_fader,quote_guardian,quote_error_guardian,quote_model_guardian,quote_indep,quote_error_indep,quote_model_indep,quote_latimes,quote_error_latimes,quote_model_latimes,quote_nme,quote_error_nme,quote_model_nme,quote_npr125,quote_error_npr125,quote_model_npr125,quote_npr25,quote_error_npr25,quote_model_npr25,quote_paste,quote_error_paste,quote_model_paste,quote_pitchfork,quote_error_pitchfork,quote_model_pitchfork,quote_quietus,quote_error_quietus,quote_model_quietus,quote_rs,quote_error_rs,quote_model_rs,quote_slant,quote_error_slant,quote_model_slant,quote_stereogum,quote_error_stereogum,quote_model_stereogum,quote_error_rough_trade,quote_model_rough_trade,quote_rough_trade,quote_usatoday,quote_error_usatoday,quote_model_usatoday,quote_variety,quote_error_variety,quote_model_variety,quote_vulture,quote_error_vulture,quote_model_vulture,quote_error_nyt_zoladz,quote_model_nyt_zoladz,quote_nyt_zoladz
2hollis,flash,,,,,,,,,,,,,he harnesses this chaos with precision—personifying the star he was always meant to become,,claude-haiku-4-5-20251001,,,,,,,"In its pulsing electroclash beat, relentless percussion and soaring vocals, all building into an explosive crescendo, ""flash"" speaks far more to the charts of the future",,claude-haiku-4-5-20251001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Backlit by the blinding strobes of his blistering synthwork—think EBM, pushed to Adderall-addled extremes—he details a lifestyle teetering out of control",,claude-haiku-4-5-20251001,,,,,,,,,,,,,,,,,,,,,,,,,,,
2hollis,nice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"""Nice"" feels like the type of pop cut that any pop star working now would kill to put out. But only 2hollis could truly sell it.",,claude-haiku-4-5-20251001,,,,,,,,,,,,,,,,,,,,,
2hollis,you,,,,,,,,,,,,,,,,"the rattling beat behind ""you"" is so slick you'd forgive 2hollis for feeling himself a little",,claude-haiku-4-5-20251001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2hollis & nate sib,afraid (feat. nate sib),,,,,,,,,,,claude-haiku-4-5-20251001,relentlessly peppy hyperelectropop bomb ... two close childhood friends huddling tightly together to collectively work out how they're planning to deal with incipient fame,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"The bouncy beat is an unequivocal mood-booster, and sometimes that's the best thing a song can do.",,claude-haiku-4-5-20251001,,,,,,,,,,,,,,,
"41, Kyle Richh, Jenn Carter, TaTa, & A Boogie Wit da Hoodie",Naked (feat. A Boogie wit da Hoodie),,,,,,,,,,,claude-haiku-4-5-20251001,An unrelentingly sad drill-R&B collaboration that can't decide if it's trying to heal the wound of a breakup or dig in deeper and make it bleed even more.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
509 BMG,Special Request to All Nice and Decent Real Niggaz (Stop Hatin),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Eleven-and-a-half minutes of Orlando trash-talker 509 BMG sliding through shape-shifting dancehall beats,,claude-sonnet-4-5-20250929,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADÉLA,SUPERSCAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"""Superscar"" doubles as a thrashing club banger and a commentary on the puppetry, sexualization, and exploitation she's faced in the music industry",,claude-haiku-4-5-20251001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFAR,Moon Body Eyes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,claude-haiku-4-5-20251001,"brooding soundscapes and haunting vocals wrap around you instantly, sending a shiver down your spine",,,,,,,,,,,,
AFI,Holy Visions,,,,,,,,,,,,,,,,"making it feel like a song that's been around for 40 years, yet still sounding as fresh as the morning dew",,claude-haiku-4-5-20251001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AJ Tracey & Jorja Smith,Crush (feat. Jorja Smith),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,it's Smith who delivers a show-stealing performance ... making snarky rap repartee look easy,,claude-haiku-4-5-20251001,,,,,,,,,,,,,"clever, streamlined bars that make a pretty undeniable case for hitting repeat",,claude-sonnet-4-5-20250929,,,,,,,,,,,,,,,,,,,,,
