,artist,name,source,result_sonnet,result_haiku
0,Addison Rae,Headphones On,crack,a vessel for her own fantasy – and her listeners' too,"sounds like a lost late-90s radio hit, echoing Janet Jackson and Madonna deep cuts"
1,Addison Rae,Headphones On,guardian,"a perfect closed loop to get lost in, an absent-minded Möbius strip of glassy chillout",a perfect closed loop to get lost in ... a perfectly Britney-like sugary-sad vocal that goes to the kind of emotional truths she was denied
2,Addison Rae,Headphones On,nme,pop's brightest new star gives us plenty of reason to tune in,capturing both the collective yearning for hedonism in pop music in 2025 and the carefree mantra of her debut album
3,Addison Rae,Headphones On,paste,"its smoky, trip-hop bounce brilliantly backing Rae's meditation on the healing power of music","smoky, trip-hop bounce brilliantly backing Rae's meditation on the healing power of music"
4,Addison Rae,Headphones On,pitchfork,"four minutes of dreamy, breathy, downtempo heaven that seems designed to play on repeat","four minutes of dreamy, breathy, downtempo heaven"
5,Addison Rae,Headphones On,stereogum,a firsthand account of the little things ... that make the pain more bearable until the hard-earned luxury comes your way,"<<Failed: Immaculately produced with cello flourishes, a wash of gentle rainfall, and an addictive organ synth riff, ""Headphones On"" is a firsthand account of the little things that make the pain more bearable>>"
6,Alex G,Afterlife,billboard,imbues his impressionistic lyrics ... with a world's worth of emotion,"<<Failed: imbues his impressionistic lyrics with a world's worth of emotion, communicating the track's themes of mortality and nostalgia through not just his words, but his vocal delivery too>>"
7,Alex G,Afterlife,crack,a compelling introduction to Giannascoli's second chapter,"Hopeful yet warmly nostalgic, Afterlife is ultimately a compelling introduction to Giannascoli's second chapter"
8,Alex G,Afterlife,guardian,it's as if a two-pint buzz on a summer's day was made into music,as if a two-pint buzz on a summer's day was made into music
9,Alex G,Afterlife,npr,breathing new life into old sounds ... making indie rock feel ephemeral and eternal,"breathing new life into old sounds, and at its best pulls off the trick of making indie rock feel ephemeral and eternal"
10,Alex G,Afterlife,paste,[He] recreates that feeling of being a kid and enjoying the simplicity of life,"""Afterlife"" is an Americana pop track that retains the magic touch present in his previous work."
11,Alex G,Afterlife,pitchfork,he evokes an emotion whose outlines are blurry,he evokes an emotion whose outlines are blurry—is it nostalgia? Yearning? Regret?
12,Alex G,Afterlife,stereogum,"Eerie, elegant, and fleetingly triumphant, ""Afterlife"" captures the restless beauty at the heart of Alex G's music.",the delicate instrument's doubled strings chime like church bells atop guitars and snare hits
13,Amaarae,S.M.O.,fader,"deceptively simple, compulsively danceable","deceptively simple, compulsively danceable ... using her voice as punctuation"
14,Amaarae,S.M.O.,nme,a lithe and loving fusion of myriad inspirations and styles,"a lithe and loving fusion of myriad inspirations and styles: Ghanaian highlife, zouk, gqom and more"
15,Amaarae,S.M.O.,paste,"Amaarae embodies the carnal urges of sex itself, how it can occupy the forefront of the mind with an incendiary urgency","Zouk rhythms and gqom atmospherics serve a nocturnal, clubby backdrop for her shameless eroticism"
16,Amaarae,S.M.O.,pitchfork,"a feat of athleticism, a path towards ecstasy, a prism for all our wants and kinks and fears and needs","a feat of athleticism, a path towards ecstasy, a prism for all our wants and kinks and fears and needs"
17,Amaarae,S.M.O.,quietus,"an absorbing blend of Ghanaian highlife, kpanlogo, zouk, R&B and bass music","an absorbing blend of Ghanaian highlife, kpanlogo, zouk, R&B and bass music ... oozes lust and desire"
18,Amaarae,S.M.O.,stereogum,"makes lyrics about absolute penetrative filth sound as reverent as ""I want to meet the God that made you""","she makes lyrics about absolute penetrative filth sound as reverent as ""I want to meet the God that made you"""
19,Bad Bunny,BAILE INoLVIDABLE,complex,<<Not usable: could_not_shorten>>,"<<Failed: a salsa track ... with a twist ... bursts into lively salsa rhythms, layered with twinkling pianos, congas, timbales, and a brassy trumpet melody>>"
20,Bad Bunny,BAILE INoLVIDABLE,nme,one of his most magnificent torch songs,'Baile Inolvidable' is one of his most magnificent torch songs
21,Bad Bunny,BAILE INoLVIDABLE,npr,The song comes alive in a complex expression of communal pain,The song comes alive in a complex expression of communal pain
22,Bad Bunny,BAILE INoLVIDABLE,rs,soulful storytelling and nostalgic lyrics ... it's the personal P.R. touch that makes it hit that much harder,The soulful storytelling and nostalgic lyrics ... make this song an instant classic
23,Bad Bunny,DtMF,billboard,as spirit-rousing and soul-lifting a singalong as we got in 2025 pop,as spirit-rousing and soul-lifting a singalong as we got in 2025 pop
24,Bad Bunny,DtMF,complex,it feels like a full-on studio party,"feels like a full-on studio party ... beneath all the festive energy, there's a subtle melancholy"
