original_artist,original_name,query,canonical_artist,canonical_name,isrc,spotify_id,spotify_artist0_id,spotify_artist0_name,youtube_id,other_url
Chuquimamani-Condori,Breathe Kullawada Caporal E DJ edit,year:2024-2025 chuquimamani-condori breathe kullawada caporal e dj edit,Chuquimamani-Condori,Breathe Kullawada Caporal E DJ edit,,,,,,https://chuquimamani-condori.bandcamp.com/track/breathe-kullawada-caporal-e-dj-edit
Hotline TNT,Candle,year:2024-2025 hotline tnt candle,Hotline TNT,Candle,,,5DDuwU1X2Aqdp3CxfXstRe,Hotline TNT,En1aA0Xi4p8,https://hotlinetnt.bandcamp.com/track/candle
Hotline TNT,Julia's War,year:2024-2025 hotline tnt julia's war,Hotline TNT,Julia's War,,,5DDuwU1X2Aqdp3CxfXstRe,Hotline TNT,RylVTdo6sMc,https://hotlinetnt.bandcamp.com/track/julias-war
Hotline TNT,Julia’s War,year:2024-2025 hotline tnt julia's war,Hotline TNT,Julia's War,,,5DDuwU1X2Aqdp3CxfXstRe,Hotline TNT,RylVTdo6sMc,https://hotlinetnt.bandcamp.com/track/julias-war
Life Without Buildings,Love Trinity,year:2024-2025 life without buildings love trinity,Life Without Buildings,Love Trinity,,,16tbi6bWXBzJ9pOMZ5gIC7,Life Without Buildings,zechDq_VNk4,https://errolshotwax.bandcamp.com/album/love-trinity
Los Thuthanaka,Awila,year:2024-2025 los thuthanaka awila,Los Thuthanaka,Awila,,,,,,https://losthuthanaka.bandcamp.com/track/kullawada-awila
Timothée Chalamet,Outlaw Blues/Three Angels’ (Live on ‘S.N.L.,year:2024-2025 timothée chalamet outlaw blues/three angels' (live on ‘s.n.l.,Timothée Chalamet,Outlaw Blues/Three Angels (Live on ‘S.N.L.),,,6XowGYJnrtyso0fKDfK7xb,Timothée Chalamet,v6dCTnnoVsI,
james K,Play,year:2024-2025 james k play,james K,Play,DEG932501778,4EbKAHT7I23BeXQFJ041Ls,25BObiRSDCMwVrBGIVaLIf,james K,2chmQiR8R10,
JAMES K,Play,year:2024-2025 james k play,james K,Play,DEG932501778,4EbKAHT7I23BeXQFJ041Ls,25BObiRSDCMwVrBGIVaLIf,james K,2chmQiR8R10,
Babyfxce E,PTP (Remix),year:2024-2025 babyfxce e ptp,"Babyfxce E, Monaleo",PTP (Remix) (ft. Monaleo),USAT22500052,5nZ73ycbCA2lkEyuM1K6zB,7a8ZndeHGrkS7xIM8060Xw,Babyfxce E,03AZjPWL7zo,
Prima Queen,The Prize,year:2024-2025 prima queen the prize,Prima Queen,The Prize,UKG3X2200352,2ytshALEfnlzn9xV08Q9pD,52fhNGn51RhUvjlapHT5T2,Prima Queen,lgu4VdjdLmI,
Pluto & YK Niece,WHIM WHAMIEE,year:2024-2025 pluto & yk niece whim whamiee,PLUTO & YKNIECE,WHIM WHAMIEE,QZES52538872,4eULTkHVLAhn5J5DOSNbdP,4uqHgaeBynLBQgfhMEIm1G,PLUTO,J-jCnsJEAFs,
Pluto,WHIM WHAMIEE,year:2024-2025 pluto whim whamiee,PLUTO & YKNIECE,WHIM WHAMIEE,QZES52538872,4eULTkHVLAhn5J5DOSNbdP,4uqHgaeBynLBQgfhMEIm1G,PLUTO,J-jCnsJEAFs,
PLUTO & YKNIECE,Whim Whamiee,year:2024-2025 pluto & ykniece whim whamiee,PLUTO & YKNIECE,WHIM WHAMIEE,QZES52538872,4eULTkHVLAhn5J5DOSNbdP,4uqHgaeBynLBQgfhMEIm1G,PLUTO,J-jCnsJEAFs,
"PLUTO, YK NIECE",WHIM WHAMIEE,"year:2024-2025 pluto, yk niece whim whamiee",PLUTO & YKNIECE,WHIM WHAMIEE,QZES52538872,4eULTkHVLAhn5J5DOSNbdP,4uqHgaeBynLBQgfhMEIm1G,PLUTO,J-jCnsJEAFs,
Molly Tuttle,That’s Going to Leave a Mark,year:2024-2025 molly tuttle that's going to leave a mark,Molly Tuttle,That's Going to Leave a Mark,USNO12500180,3kz5XjngoS57hV9rU2gRH6,4LX0KCPnH7gvxEbVXqXmAE,Molly Tuttle,J-k3xa0YYU0,
MIKE,Artist of the Century,year:2024-2025 mike artist of the century,MIKE,Artist of the Century,GBBPW2501490,0IRtsYqlZrATSdxuRS90Ip,1wlzPS1hSNrkriIIwLFTmU,MIKE,gxpuuNqoY-s,
DANIA,On a Grassy Knoll,year:2024-2025 dania on a grassy knoll,DANIA,On a Grassy Knoll,,,,,0ZZOukZoQ1g,https://somewherepress.bandcamp.com/track/on-a-grassy-knoll
Playboi Carti & YoungBoy Never Broke Again,ALIVE,year:2024-2025 playboi carti & youngboy never broke again alive,"Playboi Carti, YoungBoy Never Broke Again",ALIVE,,,699OTQXzgjhIYAHMy9RyPD,Playboi Carti,7Ko7DH13R0Q,
Decius,Nutrition Position (Type I),year:2024-2025 decius nutrition position,DECIUS,Nutrition Position (Type I),,,61VfHXWMs8Am1Sg5HeFbJw,DECIUS,,https://decius.bandcamp.com/track/nutrition-position-type-i
Freddie Gibbs,Anniversary,year:2024-2025 freddie gibbs anniversary,Freddie Gibbs,It's Your Anniversary,,,0Y4inQK6OespitzD6ijMwb,Freddie Gibbs,,https://youonlydie1nce.com/products/you-only-die-once-cd-album
Freddie Gibbs,It's Your Anniversary,year:2024-2025 freddie gibbs it's your anniversary,Freddie Gibbs,It's Your Anniversary,,,0Y4inQK6OespitzD6ijMwb,Freddie Gibbs,,https://youonlydie1nce.com/products/you-only-die-once-cd-album
The Hidden Cameras,Undertow (Vince Clarke Remix),year:2024-2025 the hidden cameras undertow,The Hidden Cameras & Vince Clarke,Undertow - Vince Clarke Remix,DEAL32300482,24kIbzb70Cc8GX09mC6k4U,6qJSWLT4bvL49hEyXxc3G9,The Hidden Cameras,HTegnDQauFo,
NINA,Idol Time,year:2024-2025 nina idol time,NINA & Orazio,Idol Time,QZNWP2551563,6CfIuRhcPnq0JmRmGlCv7a,53O83dY0rBGmnM4gV7Sqyr,NINA,,https://ninaaaaaaaaaaa13.bandcamp.com/track/idol-time
RAT HEART,L I H T,year:2024-2025 rat heart l i h t,Rat Heart & Adam Sinclaire,L . I . H . T Feat. Adam Sinclaire,UK8262501529,7cVpZrMlixJSqkWyzPq30F,4bM1ixwFMF5CJhL1Bi7c3e,Rat Heart,,https://shottatapes.bandcamp.com/track/l-i-h-t-feat-adam-sinclaire
Fine,I Could,year:2024-2025 fine i could,Fine,I could,FR96X2561175,5EmtveGyjsE023P8atahBQ,2356dfnXmbn9pH0xE2sYQ5,Fine,Mso9hxqnZgk,https://finefinefinefine.bandcamp.com/track/i-could
Young Widows,The Darkest Side,year:2024-2025 young widows the darkest side,Young Widows,The Darkest Side,USY6C2543101,0R0u3JffYWFrIjfiC2qDQ1,1DmeNQWfU70wyD5wXP2UgR,Young Widows,g3kViflTX60,https://youngwidows.bandcamp.com/track/the-darkest-side
